,Description,Timing,Open Book Exam,Component Scale,Must Pass Component,% of Final Grade,Assessment Type,Module Code,Scaled % of Final Grade,Work Type,Level,Credits,School,Module Coordinator,Semester,Enrolled Students 22/23,Stage,Student Credits,Assessment Credits
671,"Project: Design project of four weeks duration, detailed submission requirements are set out in the programme document.",Unspecified,,Standard conversion grade scale 40%,Yes,20,Project,ARCT30040,60,At home,3,15.0,"Architecture, Plan & Env Pol",Mr Peter Cody,Spring,68,,204.0,3.0
672,Portfolio: Design project work,Coursework (End of Trimester),,Standard conversion grade scale 40%,No,80,Portfolio,ARCT30040,240,Blended,3,15.0,"Architecture, Plan & Env Pol",Mr Peter Cody,Spring,68,,816.0,12.0
673,Studio Examination: Technology Studio. Brief 2.,Week 8,,Graded,No,25,Studio Examination,ARCT30090,25,In person,3,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Autumn,63,,78.75,1.25
674,Studio Examination: Technology studio. Brief 1.,Week 4,,Graded,No,25,Studio Examination,ARCT30090,25,In person,3,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Autumn,63,,78.75,1.25
675,Studio Examination: Technology Studio. Brief 3.,Week 12,,Graded,No,50,Studio Examination,ARCT30090,50,In person,3,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Autumn,63,,157.5,2.5
676,Essay: Draft Project essay - The student will be asked to review and give feed-back to their peer's work using peerScholar through Brightspace.,Week 4,,Other,No,10,Essay,ARCT30100,10,At home,3,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Spring,67,,33.5,0.5
677,Essay: Project essay - This exercise will examine in detail the perception and awareness of building construction methods and performance.,Week 12,,Graded,Yes,40,Essay,ARCT30100,40,At home,3,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Spring,67,,134.0,2.0
678,Studio Examination: Portfolio,Coursework (End of Trimester),,Graded,Yes,50,Studio Examination,ARCT30100,50,In person,3,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Spring,67,,167.5,2.5
679,Portfolio: Intelligent Tectonics portfolio,Week 8,,Graded,No,40,Portfolio,ARCT30130,40,Blended,3,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Spring,56,,112.0,2.0
680,Essay: 1200 words essay on Conservation,Week 9,,Graded,No,30,Essay,ARCT30130,30,At home,3,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Spring,56,,84.0,1.5
681,Essay: 600 words essay on Reflective Practice,Week 12,,Graded,No,15,Essay,ARCT30130,15,At home,3,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Spring,56,,42.0,0.75
682,Essay: 600 words essay on Urban Design Theory,Week 10,,Graded,No,15,Essay,ARCT30130,15,At home,3,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Spring,56,,42.0,0.75
683,"Project: Research, analysis, strategy and development projects",Varies over the Trimester,,Graded,No,100,Project,ARCT40010,100,At home,4,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Autumn,51,,255.0,5.0
684,"Assignment: Research Proposal, Literature Review and Outline",Unspecified,,Graded,No,25,Assignment,ARCT40020,25,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Autumn,49,,61.25,1.25
685,"Attendance: Attendance, Engagement and Participation in class",Unspecified,,Graded,No,25,Attendance,ARCT40020,25,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Autumn,49,,61.25,1.25
686,Essay: A final research essay of 5000 words,Varies over the Trimester,,Graded,Yes,50,Essay,ARCT40020,50,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Autumn,49,,122.5,2.5
687,Essay: dissertation on topic approved by lecturer,Week 5,,Graded,Yes,35,Essay,ARCT40030,35,At home,4,5.0,"Architecture, Plan & Env Pol",Ms Dorothy Jones,Autumn,21,,36.75,1.75
688,Examination: formal examination at end of term,2 hour End of Trimester Exam,Not specified,Graded,Yes,65,Examination,ARCT40030,65,In person,4,5.0,"Architecture, Plan & Env Pol",Ms Dorothy Jones,Autumn,21,,68.25,3.25
689,"Portfolio: A portfolio of work including research, survey and design drawings, final drawings, digital and physical models, written material, images, undertaken by the student individually or within a group.",Week 12,,Graded,Yes,100,Portfolio,ARCT40050,300,Blended,4,15.0,"Architecture, Plan & Env Pol",Ms Mary Laheen,Spring,21,,315.0,15.0
690,"Assignment: Research Proposal, Literature Review and Outline",Unspecified,,Graded,No,25,Assignment,ARCT40080,25,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Spring,12,,15.0,1.25
691,"Attendance: Attendance, Engagment and Participation in class",Unspecified,,Graded,No,25,Attendance,ARCT40080,25,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Spring,12,,15.0,1.25
692,Essay: A final research essay of 5000 words,Varies over the Trimester,,Graded,Yes,50,Essay,ARCT40080,50,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Spring,12,,30.0,2.5
693,Examination: Written Examination (2 hours),2 hour End of Trimester Exam,No,Graded,No,80,Examination,ARCT40090,80,In person,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Spring,59,,236.0,4.0
694,Multiple Choice Questionnaire (Short): Multi-choice question examination (1 hour),1 hour End of Trimester Exam,,Pass/Fail Grade Scale,Yes,20,Multiple Choice Questionnaire,ARCT40090,20,Blended,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Spring,59,,59.0,1.0
695,Oral Examination: Presentation of Case Study at Oral Examination 20-30 minutes (this is assessed in the course of assessment of Module ARCT40110).,Varies over the Trimester,,Graded,No,20,Oral Examination,ARCT40100,40,In person,4,10.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),62,,124.0,2.0
696,"Assignment: Case Study (10-12,00 words), subject to be approved in advance of registration.",Week 10,,Graded,No,80,Assignment,ARCT40100,160,At home,4,10.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),62,,496.0,8.0
697,"Assignment: Certificate(s) of Experience, provided by supervising architect employer(s) for min 24 months in accordance with requirements",Week 12,,Pass/Fail Grade Scale,No,0,Assignment,ARCT40110,0,At home,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),66,,0.0,0.0
698,"Assignment: Reflection on personal professional experience, to standard format",Week 12,,Pass/Fail Grade Scale,No,0,Assignment,ARCT40110,0,At home,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),66,,0.0,0.0
699,Oral Examination: Oral Exam,Varies over the Trimester,,Graded,No,100,Oral Examination,ARCT40110,100,In person,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),66,,330.0,5.0
700,"Essay: Assignment (3,000 words or equivalent alternative, subject to approval )",Varies over the Trimester,,Graded,No,80,Essay,ARCT40130,80,At home,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Spring,54,,216.0,4.0
701,Multiple Choice Questionnaire: Multiple choice examination,1 hour End of Trimester Exam,,Pass/Fail Grade Scale,Yes,20,Multiple Choice Questionnaire,ARCT40130,20,Blended,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Spring,54,,54.0,1.0
702,Examination: Written Examination (2 hours),2 hour End of Trimester Exam,No,Graded,No,80,Examination,ARCT40140,80,In person,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Spring,58,,232.0,4.0
703,Multiple Choice Questionnaire (Short): Multi choice examination (1 hour),1 hour End of Trimester Exam,,Pass/Fail Grade Scale,Yes,20,Multiple Choice Questionnaire,ARCT40140,20,Blended,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Spring,58,,58.0,1.0
704,"Essay: Course Essay 2,500 words",Week 7,,Graded,Yes,30,Essay,ARCT40170,30,At home,4,5.0,"Architecture, Plan & Env Pol",Professor Finola O'Kane Crimmins,Autumn,23,,34.5,1.5
705,Examination: End-of-trimester examination. The student will have a choice of questions drawn from the course material covered.,2 hour End of Trimester Exam,No,Graded,Yes,70,Examination,ARCT40170,70,In person,4,5.0,"Architecture, Plan & Env Pol",Professor Finola O'Kane Crimmins,Autumn,23,,80.5,3.5
706,Continuous Assessment: Summative Essay to capture synthesis of literature and the development of a research question. (further details provided in class),Varies over the Trimester,,Graded,No,65,Continuous Assessment,ARCT40180,65,At home,4,5.0,"Architecture, Plan & Env Pol",Dr Miriam Fitzpatrick,Spring,15,,48.75,3.25
707,Attendance: Participation and Engagement with weekly readings in seminars.,Throughout the Trimester,,Graded,No,15,Attendance,ARCT40180,15,In person,4,5.0,"Architecture, Plan & Env Pol",Dr Miriam Fitzpatrick,Spring,15,,11.25,0.75
708,Continuous Assessment: An annotated bibliography/ completed reading template (Further details provided in class),Varies over the Trimester,,Graded,No,20,Continuous Assessment,ARCT40180,20,At home,4,5.0,"Architecture, Plan & Env Pol",Dr Miriam Fitzpatrick,Spring,15,,15.0,1.0
709,Examination: Examination,2 hour End of Trimester Exam,Not specified,Graded,No,75,Examination,ARCT40190,75,In person,4,5.0,"Architecture, Plan & Env Pol",Ms Dorothy Jones,Autumn,43,,161.25,3.75
710,Essay: An essay on chosen topics from the module,Unspecified,,Graded,No,25,Essay,ARCT40190,25,At home,4,5.0,"Architecture, Plan & Env Pol",Ms Dorothy Jones,Autumn,43,,53.75,1.25
711,Oral Examination: Examination of thesis,Coursework (End of Trimester),,Graded,No,100,Oral Examination,ARCT40260,1800,In person,4,90.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Summer,0,,0.0,90.0
712,Project: Case Study,Varies over the Trimester,,Not yet recorded,No,40,Project,ARCT40520,240,At home,4,30.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Year-long (12 months),0,,0.0,12.0
713,Attendance: Tutorial Participation,Varies over the Trimester,,Not yet recorded,No,20,Attendance,ARCT40520,120,In person,4,30.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Year-long (12 months),0,,0.0,6.0
714,Continuous Assessment: Assignments,Varies over the Trimester,,Not yet recorded,No,40,Continuous Assessment,ARCT40520,240,At home,4,30.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Year-long (12 months),0,,0.0,12.0
715,"Assignment: Final Research Proposal, Literature Review, and Outline",Week 3,,Graded,No,0,Assignment,ARCT40610,0,At home,4,10.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Autumn,43,,0.0,0.0
716,Essay: Research Dissertation,Coursework (End of Trimester),,Graded,No,100,Essay,ARCT40610,200,At home,4,10.0,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Autumn,43,,430.0,10.0
717,Assignment: Final essay (builds on other assessments with focus on improving academic writing skills (further briefing in class),Unspecified,,Graded,No,55,Assignment,ARCT40660,55,At home,4,5.0,"Architecture, Plan & Env Pol",Dr Miriam Fitzpatrick,Autumn,12,,33.0,2.75
718,Fieldwork: Close observation and comparative analysis of streets (Further briefing in class),Throughout the Trimester,,Graded,No,15,Fieldwork,ARCT40660,15,In person,4,5.0,"Architecture, Plan & Env Pol",Dr Miriam Fitzpatrick,Autumn,12,,9.0,0.75
719,Attendance: Participation and engagement in discussions and reading seminars plus final reflections on the learning experience.,Throughout the Trimester,,Graded,No,10,Attendance,ARCT40660,10,In person,4,5.0,"Architecture, Plan & Env Pol",Dr Miriam Fitzpatrick,Autumn,12,,6.0,0.5
720,Essay: Book/ Literature Review (further briefing in class),Varies over the Trimester,,Graded,No,20,Essay,ARCT40660,20,At home,4,5.0,"Architecture, Plan & Env Pol",Dr Miriam Fitzpatrick,Autumn,12,,12.0,1.0
721,"Group Project: Report on analysis work undertaken by sub-group for the site assigned, organised with individual student contributions into a single coherent document.",Coursework (End of Trimester),,Graded,No,10,Group Project,ARCT40680,30,Blended,4,15.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Autumn,11,,16.5,1.5
722,Group Project: Submission of collective sub-group presentation [slides] of urban analysis of the site assigned for study.,Week 5,,Graded,No,15,Group Project,ARCT40680,45,Blended,4,15.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Autumn,11,,24.75,2.25
723,Presentation: Collective [group] presentation of urban design strategies for the site assigned for study.,Week 12,,Graded,No,10,Presentation,ARCT40680,30,In person,4,15.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Autumn,11,,16.5,1.5
724,"Essay: Essay on individual urban design project, reflecting on analysis and urban design work undertaken across the semester. The Essay and urban design project form part of the collective [group] report.",Coursework (End of Trimester),,Graded,No,60,Essay,ARCT40680,180,At home,4,15.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Autumn,11,,99.0,9.0
725,Presentation: Collective (group) presentation of urban analysis of the site assigned for study.,Week 5,,Graded,No,5,Presentation,ARCT40680,15,In person,4,15.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Autumn,11,,8.25,0.75
726,Assignment: Coursework (End of Semester Studio Output),Coursework (End of Trimester),,Graded,No,75,Assignment,ARCT40690,225,At home,4,15.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Spring,11,,123.75,11.25
727,Assignment: Coursework Throughout the Semester,Varies over the Trimester,,Graded,No,25,Assignment,ARCT40690,75,At home,4,15.0,"Architecture, Plan & Env Pol",Mr Alan Mee,Spring,11,,41.25,3.75
728,Portfolio: Project Work including Report and Exhibition,Coursework (End of Trimester),,Graded,Yes,100,Portfolio,ARCT40760,600,Blended,4,30.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,0,,0.0,30.0
729,Examination: Written Exam (2 hours),2 hour End of Trimester Exam,Not specified,Not yet recorded,No,100,Examination,ARCT40770,100,In person,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),0,,0.0,5.0
730,Examination: Writen Exam (2 hours),2 hour End of Trimester Exam,Not specified,Not yet recorded,No,100,Examination,ARCT40780,100,In person,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),0,,0.0,5.0
731,"Essay: 2-3,000 words",Varies over the Trimester,,Graded,No,100,Essay,ARCT40800,100,At home,4,5.0,"Architecture, Plan & Env Pol",Ms Orla Hegarty,Autumn and Spring (separate),0,,0.0,5.0
732,Assignment: 2.	Report - end of semester submission,Coursework (End of Trimester),,Graded,No,25,Assignment,ARCT40830,75,At home,4,15.0,"Architecture, Plan & Env Pol",Mr Desmond Byrne,Spring,0,,0.0,3.75
733,Studio Examination: end of semester submission,Coursework (End of Trimester),,Graded,No,75,Studio Examination,ARCT40830,225,In person,4,15.0,"Architecture, Plan & Env Pol",Mr Desmond Byrne,Spring,0,,0.0,11.25
734,Assignment: < Description >,Coursework (End of Trimester),,Graded,No,100,Assignment,ARCT40840,600,At home,4,30.0,"Architecture, Plan & Env Pol",Mr Desmond Byrne,Summer,0,,0.0,30.0
735,Group Project: Development of sketch design to production information,Week 7,,Graded,No,40,Group Project,ARCT40870,40,Blended,4,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Spring,27,,54.0,2.0
736,Group Project: Preliminary design strategies in response to client briefing..,Week 3,,Graded,No,10,Group Project,ARCT40870,10,Blended,4,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Spring,27,,13.5,0.5
737,Group Project: Project Report,Coursework (End of Trimester),,Graded,No,10,Group Project,ARCT40870,10,Blended,4,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Spring,27,,13.5,0.5
738,Group Project: Building,Week 9,,Graded,Yes,40,Group Project,ARCT40870,40,Blended,4,5.0,"Architecture, Plan & Env Pol",Mr Tiago Faria,Spring,27,,54.0,2.0
739,"Portfolio: Work undertaken throughout the module, including workshops and precedent model development will be assembled into a final hard copy portfolio plus digital submission of Rhino and Grasshopper files.",Week 12,,Graded,Yes,100,Portfolio,ARCT40930,100,Blended,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,14,,70.0,5.0
740,"Group Project: Working in teams of 2-3 students, a design project will be undertaken to investigate Designing for Disassembly & Reuse (DfDR) including a disassembly plan",Throughout the Trimester,,Graded,No,40,Group Project,ARCT40970,40,Blended,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,4,,8.0,2.0
741,Assignment: Participation in peer-reviewing 2 of your colleagues work on the Essay project. This will be graded as either Complete (A+) or Incomplete (NM).,Week 4,,Graded,No,5,Assignment,ARCT40970,5,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,4,,1.0,0.25
742,Essay: Each student will select one of the research papers listed on Brightspace to summarize for the class..,Week 4,,Graded,No,10,Essay,ARCT40970,10,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,4,,2.0,0.5
743,Group Project: Final Research Report: Summarizing design study outcomes and reflection on discourse on DfDR,Week 12,,Graded,No,25,Group Project,ARCT40970,25,Blended,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,4,,5.0,1.25
744,Presentation: Presentation of DfDR Design Project,Week 6,,Graded,No,10,Presentation,ARCT40970,10,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,4,,2.0,0.5
745,Presentation: Each student will present their case study findings to the class.,Week 4,,Graded,No,10,Presentation,ARCT40970,10,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Elizabeth Shotton,Spring,4,,2.0,0.5
746,Journal: Journal,Week 12,,Not yet recorded,No,40,Journal,ARCT41010,80,Blended,4,10.0,"Architecture, Plan & Env Pol",Ms Vivienne Brophy,Spring,0,,0.0,4.0
747,Attendance: Attendance,Throughout the Trimester,,Not yet recorded,No,10,Attendance,ARCT41010,20,In person,4,10.0,"Architecture, Plan & Env Pol",Ms Vivienne Brophy,Spring,0,,0.0,1.0
748,Project: Project,Week 12,,Not yet recorded,No,50,Project,ARCT41010,100,At home,4,10.0,"Architecture, Plan & Env Pol",Ms Vivienne Brophy,Spring,0,,0.0,5.0
749,Presentation: Final Presentation,Unspecified,,Graded,No,100,Presentation,ARCT41020,100,In person,4,5.0,"Architecture, Plan & Env Pol",Mr Daniel Sudhershan,Summer,0,,0.0,5.0
750,Continuous Assessment: Each student is assessed through one-to-one supervisions,Unspecified,,Graded,No,100,Continuous Assessment,ARCT41100,50,At home,4,2.5,"Architecture, Plan & Env Pol",Assoc Professor Samantha Martin,Autumn and Spring (separate),1,,2.5,2.5
751,Portfolio: All of the work completed throughout the module is to be submitted in a portfolio for assessment.,Coursework (End of Trimester),,Other,No,100,Portfolio,ARCT41120,300,Blended,4,15.0,"Architecture, Plan & Env Pol",Mr Marcus Donaghy,Autumn,60,,900.0,15.0
752,"Assignment: DRAFT 2: high quality, designed, printed, portfolio of work from across your academic career made both in accordance with the criteria set out in the descriptor and at the commencement of the module",Throughout the Trimester,,Pass/Fail Grade Scale,No,0,Assignment,ARCT41130,0,At home,4,5.0,"Architecture, Plan & Env Pol",Mr Emmett Scanlon,Spring,43,,0.0,0.0
753,"Assignment: DRAFT 1: high quality, designed, printed, portfolio of work from across your academic career made both in accordance with the criteria set out in the descriptor and at the commencement of the module",Varies over the Trimester,,Pass/Fail Grade Scale,No,0,Assignment,ARCT41130,0,At home,4,5.0,"Architecture, Plan & Env Pol",Mr Emmett Scanlon,Spring,43,,0.0,0.0
754,"Assignment: FREE SUBMISSION - this is piece of work intent on disseminating or communicating architecture to an audience. Written, visual, aural, online, photography etc.",Throughout the Trimester,,Graded,Yes,40,Assignment,ARCT41130,40,At home,4,5.0,"Architecture, Plan & Env Pol",Mr Emmett Scanlon,Spring,43,,86.0,2.0
755,"Assignment: FINAL: high quality, designed, printed, portfolio of work from across your academic career made both in accordance with the criteria set out in the descriptor and at the commencement of the module",Week 12,,Graded,Yes,60,Assignment,ARCT41130,60,At home,4,5.0,"Architecture, Plan & Env Pol",Mr Emmett Scanlon,Spring,43,,129.0,3.0
756,Assignment: Final State-of-the-art Report,Week 12,,Not yet recorded,No,100,Assignment,ARCT41170,300,At home,4,15.0,"Architecture, Plan & Env Pol",Ms Vivienne Brophy,Spring,0,,0.0,15.0
757,Assignment: TESTING CYCLE 6,Week 10,,Graded,Yes,19,Assignment,ARCT41180,95,At home,4,25.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Spring,43,,204.25,4.75
758,Portfolio: TESTING CYCLE 7 & SHOW OFF EXHIBITION SHOW OFF - 'FOLIO PART 2,Coursework (End of Trimester),,Graded,Yes,38,Portfolio,ARCT41180,190,Blended,4,25.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Spring,43,,408.5,9.5
759,Assignment: TESTING CYCLE 4,Week 3,,Graded,Yes,19,Assignment,ARCT41180,95,At home,4,25.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Spring,43,,204.25,4.75
760,Assignment: TESTING CYCLE 5,Week 7,,Graded,Yes,25,Assignment,ARCT41180,125,At home,4,25.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Spring,43,,268.75,6.25
761,Assignment: TESTING CYCLE 3,Week 9,,Graded,Yes,30,Assignment,ARCT41190,90,At home,4,15.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Autumn,43,,193.5,4.5
762,Portfolio: 'FOLIO PART 1,Coursework (End of Trimester),,Graded,Yes,10,Portfolio,ARCT41190,30,Blended,4,15.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Autumn,43,,64.5,1.5
763,Assignment: TESTING CYCLE 1,Week 3,,Graded,Yes,30,Assignment,ARCT41190,90,At home,4,15.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Autumn,43,,193.5,4.5
764,Assignment: TESTING CYCLE 2,Week 6,,Graded,Yes,30,Assignment,ARCT41190,90,At home,4,15.0,"Architecture, Plan & Env Pol",Ms Fiona Hughes,Autumn,43,,193.5,4.5
765,Continuous Assessment: In-class quiz that will focus on the content of lectures & mandatory readings. A final quiz on all module content including content of visiting lectures and seminar presentations by groups.,Week 12,,Standard conversion grade scale 40%,No,25,Continuous Assessment,ARCT41210,25,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,33,,41.25,1.25
766,Group Project: Student group research project and class presentations. in 2022 - Building LCA assignment undertaken with Share Your Green Design's Juan Morillas of BDP Architects.,Throughout the Trimester,,Graded,No,75,Group Project,ARCT41210,75,Blended,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,33,,123.75,3.75
767,"Presentation: Presentation of work undertaken, results and conclusions are to be made at designated times through the semester",Throughout the Trimester,,Graded,Yes,40,Presentation,ARCT41230,240,In person,4,30.0,"Architecture, Plan & Env Pol",Dr Philip Crowe,Summer,14,,168.0,12.0
768,Assignment: A report or thesis is to be submitted at the end of the project depending on the Linked Research Project type the student undertakes,Coursework (End of Trimester),,Graded,Yes,60,Assignment,ARCT41230,360,At home,4,30.0,"Architecture, Plan & Env Pol",Dr Philip Crowe,Summer,14,,252.0,18.0
769,Assignment: student own research assignment,Throughout the Trimester,,Graded,No,70,Assignment,ARCT41240,70,At home,4,5.0,"Architecture, Plan & Env Pol",Dr Philip Crowe,Spring,25,,87.5,3.5
770,Group Project: A group research project component,Throughout the Trimester,,Graded,No,30,Group Project,ARCT41240,30,Blended,4,5.0,"Architecture, Plan & Env Pol",Dr Philip Crowe,Spring,25,,37.5,1.5
771,"Class Test: An online quiz including multiple choice, multi-select, true or false, short answer, matched items questions will be undertaken in mid semester.",Week 7,,Standard conversion grade scale 40%,No,25,Class Test,ARCT41260,25,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,0,,0.0,1.25
772,Assignment: A final short assignment will be submitted by students individually at the end of semester.,Week 12,,Standard conversion grade scale 40%,No,25,Assignment,ARCT41260,25,At home,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,0,,0.0,1.25
773,Group Project: There will be two group project assignments during the course of the module. The first will be a formative assessment and the second summative.,Throughout the Trimester,,Standard conversion grade scale 40%,No,25,Group Project,ARCT41260,25,Blended,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,0,,0.0,1.25
774,Group Project: 1 of 2 group projects described,Throughout the Trimester,,Graded,No,25,Group Project,ARCT41260,25,Blended,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,0,,0.0,1.25
775,Studio Examination: Brief 2,Week 8,,Graded,No,25,Studio Examination,ARCT41270,25,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,8,,10.0,1.25
776,Studio Examination: Brief 1,Week 4,,Graded,No,25,Studio Examination,ARCT41270,25,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,8,,10.0,1.25
777,Studio Examination: Brief 3,Week 12,,Graded,No,50,Studio Examination,ARCT41270,50,In person,4,5.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,8,,20.0,2.5
778,Assignment: A final short assignment will be submitted by students individually at the end of semester.This is the Earthshot assignment. Further details will be given in class.,Week 12,,Standard conversion grade scale 40%,No,35,Assignment,ARCT41280,70,At home,4,10.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,14,,49.0,3.5
779,Fieldwork: This assessment component will focus on the outcome of fieldwork in the community.It will include assessment of attendance and engagement in the field and at the associated lectures.,Throughout the Trimester,,Graded,No,25,Fieldwork,ARCT41280,50,In person,4,10.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,14,,35.0,2.5
780,Group Project: This is a group project focused around the upcoming COP. Further details will be provided in class.,Throughout the Trimester,,Standard conversion grade scale 40%,No,40,Group Project,ARCT41280,80,Blended,4,10.0,"Architecture, Plan & Env Pol",Assoc Professor Oliver Kinnane,Autumn,14,,56.0,4.0
781,Group Project: Group Project and presentation on topical environmental issue,Varies over the Trimester,,Graded,No,20,Group Project,ENVP10010,20,Blended,1,5.0,"Architecture, Plan & Env Pol",Dr Finbarr Brereton,Spring,171,,171.0,1.0
782,Continuous Assessment: Assessments linked to workshops,Varies over the Trimester,,Graded,No,30,Continuous Assessment,ENVP10010,30,At home,1,5.0,"Architecture, Plan & Env Pol",Dr Finbarr Brereton,Spring,171,,256.5,1.5
783,Multiple Choice Questionnaire: End-of-term online MCQ,End of trimester MCQ,,Graded,No,25,Multiple Choice Questionnaire,ENVP10010,25,Blended,1,5.0,"Architecture, Plan & Env Pol",Dr Finbarr Brereton,Spring,171,,213.75,1.25
784,Multiple Choice Questionnaire: Mid-term online MCQ,Unspecified,,Standard conversion grade scale 40%,No,25,Multiple Choice Questionnaire,ENVP10010,25,Blended,1,5.0,"Architecture, Plan & Env Pol",Dr Finbarr Brereton,Spring,171,,213.75,1.25
785,Multiple Choice Questionnaire: The multiple choice questionnaire contains questions on all lectures.,Week 12,,Graded,No,25,Multiple Choice Questionnaire,ENVP10030,25,Blended,1,5.0,"Architecture, Plan & Env Pol",Dr Leonhard Lades,Autumn,46,,57.5,1.25
786,Assignment: Students produce a concept to provide essential information for the design of an environmental economic policy relying on environmental economic tools.,Varies over the Trimester,,Graded,No,25,Assignment,ENVP10030,25,At home,1,5.0,"Architecture, Plan & Env Pol",Dr Leonhard Lades,Autumn,46,,57.5,1.25
787,Assignment: Students produce a policy-brief suggesting a solution to an environmental problem of their choice. The policy-brief highlights key concepts from the environmental economics literature.,Varies over the Trimester,,Graded,No,50,Assignment,ENVP10030,50,At home,1,5.0,"Architecture, Plan & Env Pol",Dr Leonhard Lades,Autumn,46,,115.0,2.5
